,campaign_id,campaign_name,Submission Date,Description,Campaign Objectives,KPIs,Placement(s),StartDate,EndDate,Serving Location(s),Black/white/audience list included?,Cost Centre,Currency,Buy Rate (CPE),Volume Agreed,Gross Cost/Budget,Agency Fee,Percentage,Flat Fee,Net Cost
0,shg01yl,Lexus East | Boston | Sensory Video |  CPM - CPE Algo,14/02/2020 14:48,"Hey Kentaro - Below is the info for the Lexus Certified NY campaign.

 - Launch Date: 03.01.20
 - Asset Due Date: NA
 - Storyboard 1 Due Date: NA
 - [https://drive.google.com/drive/folders/1R6pqH2APQdqAu0UGLI6Ts59e2gpgp76M?usp=sharing]
 - Placements: Fullscreen & MPU
 - Unit Type: High Impact Sensory Video Unit (Vertical Video) 
 - Standard / Non-Standard?: ?
 - Budget: Multiple
 - No. of Concepts: 1 concept

 - Campaign Objective: TBD

**ASSETS / CREATIVE DIRECTION:**
[LINK]() to assets: https://drive.google.com/drive/folders/1PHOnJaQG8Fibs7Yv0ySjCspwEiMbM4fe?usp=sharing
No. of Concepts: 1 concept
Is client utilizing concept from proposal? Or will they be sharing their own concept? Yes",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),01/03/2020,30/11/2020,"NY, Boston, Philadelphia",No black/white/audience list for this campaign,USA,USD,0.4,531179.0,212471.6,Percentage,0.0,Not Available,212471.6
1,rom3zao,Lexus East | Boston | Sensory Video |  CPM,14/02/2020 14:48,"Hey Kentaro - Below is the info for the Lexus Certified NY campaign.

 - Launch Date: 03.01.20
 - Asset Due Date: NA
 - Storyboard 1 Due Date: NA
 - [https://drive.google.com/drive/folders/1R6pqH2APQdqAu0UGLI6Ts59e2gpgp76M?usp=sharing]
 - Placements: Fullscreen & MPU
 - Unit Type: High Impact Sensory Video Unit (Vertical Video) 
 - Standard / Non-Standard?: ?
 - Budget: Multiple
 - No. of Concepts: 1 concept

 - Campaign Objective: TBD

**ASSETS / CREATIVE DIRECTION:**
[LINK]() to assets: https://drive.google.com/drive/folders/1PHOnJaQG8Fibs7Yv0ySjCspwEiMbM4fe?usp=sharing
No. of Concepts: 1 concept
Is client utilizing concept from proposal? Or will they be sharing their own concept? Yes",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),01/03/2020,30/11/2020,"NY, Boston, Philadelphia",No black/white/audience list for this campaign,USA,USD,0.4,531179.0,212471.6,Percentage,0.0,Not Available,212471.6
2,lvkar9i,Lexus East | Boston | Sensory Video |  CPE,14/02/2020 14:48,"Hey Kentaro - Below is the info for the Lexus Certified NY campaign.

 - Launch Date: 03.01.20
 - Asset Due Date: NA
 - Storyboard 1 Due Date: NA
 - [https://drive.google.com/drive/folders/1R6pqH2APQdqAu0UGLI6Ts59e2gpgp76M?usp=sharing]
 - Placements: Fullscreen & MPU
 - Unit Type: High Impact Sensory Video Unit (Vertical Video) 
 - Standard / Non-Standard?: ?
 - Budget: Multiple
 - No. of Concepts: 1 concept

 - Campaign Objective: TBD

**ASSETS / CREATIVE DIRECTION:**
[LINK]() to assets: https://drive.google.com/drive/folders/1PHOnJaQG8Fibs7Yv0ySjCspwEiMbM4fe?usp=sharing
No. of Concepts: 1 concept
Is client utilizing concept from proposal? Or will they be sharing their own concept? Yes",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),01/03/2020,30/11/2020,"NY, Boston, Philadelphia",No black/white/audience list for this campaign,USA,USD,0.4,531179.0,212471.6,Percentage,0.0,Not Available,212471.6
3,8muucqy,Lexus East | Boston | Sensory Video |  CPE AV,14/02/2020 14:48,"Hey Kentaro - Below is the info for the Lexus Certified NY campaign.

 - Launch Date: 03.01.20
 - Asset Due Date: NA
 - Storyboard 1 Due Date: NA
 - [https://drive.google.com/drive/folders/1R6pqH2APQdqAu0UGLI6Ts59e2gpgp76M?usp=sharing]
 - Placements: Fullscreen & MPU
 - Unit Type: High Impact Sensory Video Unit (Vertical Video) 
 - Standard / Non-Standard?: ?
 - Budget: Multiple
 - No. of Concepts: 1 concept

 - Campaign Objective: TBD

**ASSETS / CREATIVE DIRECTION:**
[LINK]() to assets: https://drive.google.com/drive/folders/1PHOnJaQG8Fibs7Yv0ySjCspwEiMbM4fe?usp=sharing
No. of Concepts: 1 concept
Is client utilizing concept from proposal? Or will they be sharing their own concept? Yes",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),01/03/2020,30/11/2020,"NY, Boston, Philadelphia",No black/white/audience list for this campaign,USA,USD,0.4,531179.0,212471.6,Percentage,0.0,Not Available,212471.6
4,xygdmea,Lexus East | Boston | Sensory Video |  CPE - CPE Algo,14/02/2020 14:48,"Hey Kentaro - Below is the info for the Lexus Certified NY campaign.

 - Launch Date: 03.01.20
 - Asset Due Date: NA
 - Storyboard 1 Due Date: NA
 - [https://drive.google.com/drive/folders/1R6pqH2APQdqAu0UGLI6Ts59e2gpgp76M?usp=sharing]
 - Placements: Fullscreen & MPU
 - Unit Type: High Impact Sensory Video Unit (Vertical Video) 
 - Standard / Non-Standard?: ?
 - Budget: Multiple
 - No. of Concepts: 1 concept

 - Campaign Objective: TBD

**ASSETS / CREATIVE DIRECTION:**
[LINK]() to assets: https://drive.google.com/drive/folders/1PHOnJaQG8Fibs7Yv0ySjCspwEiMbM4fe?usp=sharing
No. of Concepts: 1 concept
Is client utilizing concept from proposal? Or will they be sharing their own concept? Yes",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),01/03/2020,30/11/2020,"NY, Boston, Philadelphia",No black/white/audience list for this campaign,USA,USD,0.4,531179.0,212471.6,Percentage,0.0,Not Available,212471.6
5,bgo72sq,Lexus East | Philadelphia | Sensory Video |  CPM,05/10/2020 12:50,"Hey team see details for the campaign below: 

 - Launch Date:10/12 or 10/19
 - Asset Due Date: ASAP
 - Storyboard 1 Due Date: TBD
 - Placements: Fullscreen & MPU
 - Unit Type: [INSERT: High Impact Sensory Video Unit
 - Standard / Non-Standard?: Standard
 - Budget: 
 - No. of Concepts: 1
 - Campaign Objective: Awareness 
 - Additional Details: 
  - Creative still pending
  - Creative based on a mix of Lexus west AWD and L certified",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),12/10/2020,31/12/2020,USA,No black/white/audience list for this campaign,USA,USD,0.4,0.0,0.0,Percentage,15.0,Not Available,0.0
6,5qtwg2a,Lexus East | Philadelphia | Sensory Video |  CPE AV,05/10/2020 12:50,"Hey team see details for the campaign below: 

 - Launch Date:10/12 or 10/19
 - Asset Due Date: ASAP
 - Storyboard 1 Due Date: TBD
 - Placements: Fullscreen & MPU
 - Unit Type: [INSERT: High Impact Sensory Video Unit
 - Standard / Non-Standard?: Standard
 - Budget: 
 - No. of Concepts: 1
 - Campaign Objective: Awareness 
 - Additional Details: 
  - Creative still pending
  - Creative based on a mix of Lexus west AWD and L certified",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),12/10/2020,31/12/2020,USA,No black/white/audience list for this campaign,USA,USD,0.4,0.0,0.0,Percentage,15.0,Not Available,0.0
7,z5cjizq,Lexus East | Philadelphia | Sensory Video |  CPM AV,05/10/2020 12:50,"Hey team see details for the campaign below: 

 - Launch Date:10/12 or 10/19
 - Asset Due Date: ASAP
 - Storyboard 1 Due Date: TBD
 - Placements: Fullscreen & MPU
 - Unit Type: [INSERT: High Impact Sensory Video Unit
 - Standard / Non-Standard?: Standard
 - Budget: 
 - No. of Concepts: 1
 - Campaign Objective: Awareness 
 - Additional Details: 
  - Creative still pending
  - Creative based on a mix of Lexus west AWD and L certified",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),12/10/2020,31/12/2020,USA,No black/white/audience list for this campaign,USA,USD,0.4,0.0,0.0,Percentage,15.0,Not Available,0.0
8,758ifo0,Lexus East | Philadelphia | Sensory Video |  CPM - CPE Algo,05/10/2020 12:50,"Hey team see details for the campaign below: 

 - Launch Date:10/12 or 10/19
 - Asset Due Date: ASAP
 - Storyboard 1 Due Date: TBD
 - Placements: Fullscreen & MPU
 - Unit Type: [INSERT: High Impact Sensory Video Unit
 - Standard / Non-Standard?: Standard
 - Budget: 
 - No. of Concepts: 1
 - Campaign Objective: Awareness 
 - Additional Details: 
  - Creative still pending
  - Creative based on a mix of Lexus west AWD and L certified",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),12/10/2020,31/12/2020,USA,No black/white/audience list for this campaign,USA,USD,0.4,0.0,0.0,Percentage,15.0,Not Available,0.0
9,v0fbymt,Lexus East | Philadelphia | Sensory Video |  CPE - CPE Algo,05/10/2020 12:50,"Hey team see details for the campaign below: 

 - Launch Date:10/12 or 10/19
 - Asset Due Date: ASAP
 - Storyboard 1 Due Date: TBD
 - Placements: Fullscreen & MPU
 - Unit Type: [INSERT: High Impact Sensory Video Unit
 - Standard / Non-Standard?: Standard
 - Budget: 
 - No. of Concepts: 1
 - Campaign Objective: Awareness 
 - Additional Details: 
  - Creative still pending
  - Creative based on a mix of Lexus west AWD and L certified",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),12/10/2020,31/12/2020,USA,No black/white/audience list for this campaign,USA,USD,0.4,0.0,0.0,Percentage,15.0,Not Available,0.0
